Customer ID,num_transactions,total_revenue,avg_order_value,total_items,first_purchase,last_purchase,unique_products,recency_days,tenure_days
12346.0,12,77556.46,2281.0723529411766,74285,2009-12-14 08:34:00,2011-01-18 10:01:00,27,325,400
12347.0,8,5633.32,22.26608695652174,3286,2010-10-31 14:20:00,2011-12-07 15:52:00,126,1,402
12348.0,5,2019.3999999999999,39.59607843137255,2714,2010-09-27 14:59:00,2011-09-25 13:13:00,25,74,362
12349.0,4,4428.6900000000005,25.306800000000003,1624,2010-04-29 13:20:00,2011-11-21 09:51:00,138,18,570
12350.0,1,334.40000000000003,19.67058823529412,197,2011-02-02 16:01:00,2011-02-02 16:01:00,17,309,0
12351.0,1,300.93,14.33,261,2010-11-29 15:23:00,2010-11-29 15:23:00,21,374,0
12352.0,10,2849.84,27.668349514563108,724,2010-11-12 10:20:00,2011-11-03 14:37:00,70,35,356
12353.0,2,406.76,16.948333333333334,212,2010-10-27 12:44:00,2011-05-19 17:47:00,23,203,204
12354.0,1,1079.4,18.610344827586207,530,2011-04-21 13:11:00,2011-04-21 13:11:00,58,231,0
12355.0,2,947.61,27.074571428571428,543,2010-05-21 11:59:00,2011-05-09 13:49:00,35,213,353
12356.0,6,6373.68,44.57118881118881,3417,2010-10-11 09:42:00,2011-11-17 08:40:00,104,22,401
12357.0,3,18287.66,61.78263513513514,6587,2010-11-16 10:05:00,2011-11-06 16:07:00,261,32,355
12358.0,5,3887.07,50.48142857142857,1079,2009-12-08 07:59:00,2011-12-08 10:26:00,56,1,730
12359.0,10,8935.94,24.482027397260275,2752,2009-12-05 13:32:00,2011-10-13 12:47:00,305,57,676
12360.0,8,4252.89,19.59857142857143,2459,2010-02-22 09:32:00,2011-10-18 15:22:00,160,51,603
12361.0,4,511.25,17.629310344827587,235,2010-01-26 14:37:00,2011-02-25 13:51:00,18,286,394
12362.0,11,5356.2300000000005,20.060786516853934,2230,2009-12-01 10:10:00,2011-12-06 15:40:00,201,2,735
12363.0,2,552.0,24.0,408,2011-04-11 13:29:00,2011-08-22 10:18:00,23,109,132
12364.0,4,1313.1,15.448235294117646,1506,2011-08-19 15:24:00,2011-12-02 10:22:00,70,7,104
12365.0,2,641.38,29.153636363636362,174,2011-02-21 13:51:00,2011-02-21 14:04:00,22,290,0
12366.0,1,500.24,166.74666666666667,296,2010-03-16 10:28:00,2010-03-16 10:28:00,3,633,0
12367.0,1,168.9,15.354545454545455,173,2011-12-05 16:48:00,2011-12-05 16:48:00,11,3,0
12368.0,1,917.7,50.983333333333334,330,2010-03-21 15:56:00,2010-03-21 15:56:00,18,627,0
12369.0,3,1791.15,19.25967741935484,1241,2010-03-08 08:09:00,2010-10-22 13:13:00,90,412,228
12370.0,7,4320.31,21.387673267326736,2605,2010-02-09 09:41:00,2011-10-19 14:51:00,168,50,617
12371.0,5,4067.38,24.35556886227545,1436,2010-03-04 18:23:00,2011-10-26 10:16:00,134,44,600
12372.0,3,1298.04,24.962307692307693,794,2011-02-16 12:46:00,2011-09-29 12:12:00,34,71,224
12373.0,3,1127.65,22.110784313725492,516,2010-02-04 12:08:00,2011-02-01 13:10:00,36,310,362
12374.0,4,2989.2200000000003,36.01469879518073,1362,2010-04-30 14:01:00,2011-11-14 15:37:00,79,24,563
12375.0,2,457.5,26.91176470588235,178,2011-09-02 14:23:00,2011-11-29 10:36:00,14,10,87
12376.0,2,503.15,38.70384615384615,240,2010-10-18 08:42:00,2010-11-15 12:15:00,11,389,28
12377.0,4,3426.32,22.54157894736842,2105,2010-04-29 15:34:00,2011-01-28 15:45:00,129,314,274
12378.0,2,5416.32,17.994418604651162,3316,2010-05-26 14:07:00,2011-08-02 10:34:00,281,129,432
12379.0,4,1620.22,20.002716049382716,815,2010-06-23 12:49:00,2011-09-19 10:09:00,58,81,452
12380.0,11,9676.300000000001,34.93249097472925,3355,2010-02-15 12:05:00,2011-11-18 11:27:00,156,21,640
12381.0,5,1845.31,21.21045977011494,808,2011-08-12 09:57:00,2011-12-05 12:44:00,70,4,115
12383.0,5,1850.56,18.69252525252525,1532,2010-12-22 14:28:00,2011-06-08 08:02:00,84,184,167
12384.0,2,585.27,21.676666666666666,126,2011-08-10 11:23:00,2011-11-11 08:39:00,26,28,92
12385.0,1,1938.4,29.821538461538463,612,2010-11-25 15:14:00,2010-11-25 15:14:00,65,378,0
12386.0,2,660.8000000000001,36.711111111111116,568,2010-12-08 09:53:00,2011-01-06 12:37:00,10,337,29
12387.0,1,143.94,15.993333333333332,134,2010-10-20 16:27:00,2010-10-20 16:27:00,9,414,0
12388.0,8,3901.11,26.719931506849317,2001,2010-05-06 12:54:00,2011-11-24 12:30:00,83,15,566
12389.0,3,1433.33,29.251632653061222,614,2010-02-22 10:15:00,2010-11-02 11:52:00,41,402,253
12390.0,1,549.84,17.1825,353,2011-09-21 09:33:00,2011-09-21 09:33:00,32,79,0
12391.0,6,2773.42,9.86982206405694,1220,2010-02-15 10:12:00,2011-11-18 12:07:00,241,21,641
12392.0,1,234.75000000000003,33.53571428571429,73,2010-04-27 14:04:00,2010-04-27 14:04:00,7,590,0
12393.0,6,2399.45,22.424766355140186,1311,2010-10-07 13:49:00,2011-09-28 15:41:00,63,71,356
12394.0,2,1272.48,47.12888888888889,819,2011-05-06 14:01:00,2011-10-07 08:08:00,26,63,153
12395.0,15,5067.27,19.94988188976378,3733,2010-04-16 10:16:00,2011-11-20 15:21:00,145,18,583
12396.0,1,931.4300000000001,14.329692307692309,591,2010-02-03 13:22:00,2010-02-03 13:22:00,65,673,0
12397.0,2,2409.9,19.126190476190477,1263,2011-07-27 14:21:00,2011-11-04 09:52:00,110,35,99
12398.0,1,1635.6599999999999,19.24305882352941,1394,2011-10-25 10:27:00,2011-10-25 10:27:00,85,45,0
12399.0,7,1962.3,17.83909090909091,2198,2010-03-05 08:45:00,2011-08-12 13:15:00,67,118,525
12400.0,1,205.25,18.65909090909091,91,2010-10-21 13:45:00,2010-10-21 13:45:00,11,413,0
12401.0,1,84.3,16.86,11,2011-02-09 13:50:00,2011-02-09 13:50:00,5,302,0
12402.0,6,1256.9,17.955714285714286,584,2010-02-07 12:41:00,2011-01-20 13:49:00,43,322,347
12403.0,2,1019.36,113.26222222222222,260,2010-07-06 11:39:00,2011-10-21 10:51:00,5,49,471
12404.0,1,63.24,63.24,1,2010-01-26 16:25:00,2010-01-26 16:25:00,1,681,0
12405.0,1,1710.39,31.67388888888889,857,2011-07-14 08:52:00,2011-07-14 08:52:00,54,148,0
12406.0,5,6390.36,38.49614457831325,3416,2010-01-11 14:04:00,2011-11-17 19:22:00,114,21,675
12407.0,5,1708.12,22.18337662337662,1416,2011-03-20 13:21:00,2011-10-21 10:11:00,57,49,214
